INFO | app | 2023-03-31 19:29:04,308 | 17 | Start show_list_of_commands()
INFO | app | 2023-03-31 19:29:04,309 | 68 | Start iteration
INFO | app | 2023-03-31 19:29:04,319 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:29:11,166 | 34 | Start process_command()
INFO | app | 2023-03-31 19:29:11,181 | 48 | Start get_result()
INFO | app | 2023-03-31 19:29:11,205 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:29:11,212 | 73 | End iteration
INFO | app | 2023-03-31 19:29:11,218 | 68 | Start iteration
INFO | app | 2023-03-31 19:29:11,224 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:30:04,186 | 17 | Start show_list_of_commands()
INFO | app | 2023-03-31 19:30:04,187 | 68 | Start iteration
INFO | app | 2023-03-31 19:30:04,194 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:30:09,159 | 34 | Start process_command()
INFO | app | 2023-03-31 19:30:09,175 | 48 | Start get_result()
INFO | app | 2023-03-31 19:30:09,195 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:30:09,202 | 73 | End iteration
INFO | app | 2023-03-31 19:30:09,208 | 68 | Start iteration
INFO | app | 2023-03-31 19:30:09,215 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:30:36,143 | 34 | Start process_command()
INFO | app | 2023-03-31 19:30:36,158 | 48 | Start get_result()
INFO | app | 2023-03-31 19:30:36,180 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:30:36,186 | 73 | End iteration
INFO | app | 2023-03-31 19:30:36,193 | 68 | Start iteration
INFO | app | 2023-03-31 19:30:36,200 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:31:41,451 | 17 | Start show_list_of_commands()
INFO | app | 2023-03-31 19:31:41,451 | 68 | Start iteration
INFO | app | 2023-03-31 19:31:41,460 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:31:44,846 | 34 | Start process_command()
INFO | app | 2023-03-31 19:31:44,860 | 48 | Start get_result()
INFO | app | 2023-03-31 19:31:44,881 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:31:44,887 | 73 | End iteration
INFO | app | 2023-03-31 19:31:44,893 | 68 | Start iteration
INFO | app | 2023-03-31 19:31:44,900 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:31:46,619 | 34 | Start process_command()
INFO | app | 2023-03-31 19:31:46,627 | 48 | Start get_result()
INFO | app | 2023-03-31 19:31:46,641 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:31:46,647 | 73 | End iteration
INFO | app | 2023-03-31 19:31:46,655 | 68 | Start iteration
INFO | app | 2023-03-31 19:31:46,662 | 27 | Start get_command_from_user()
INFO | app | 2023-03-31 19:31:48,752 | 34 | Start process_command()
INFO | app | 2023-03-31 19:31:48,765 | 48 | Start get_result()
INFO | app | 2023-03-31 19:31:48,785 | 61 | Start give_result_to_user()
INFO | app | 2023-03-31 19:31:48,794 | 73 | End iteration
INFO | app | 2023-03-31 19:31:48,800 | 68 | Start iteration
INFO | app | 2023-03-31 19:31:48,807 | 27 | Start get_command_from_user()
